Category,Match_Score,Extracted_Skills
ENGINEERING,5.019327211443563,"['sql', 'excel', 'communication', 'data analysis']"
INFORMATION-TECHNOLOGY,4.987707854944202,"['excel', 'communication']"
CONSTRUCTION,4.987032263713794,"['excel', 'communication']"
CHEF,4.973499221541605,"['excel', 'communication', 'leadership']"
CONSULTANT,4.958476376615316,"['sql', 'leadership']"
ENGINEERING,4.94225766969506,"['sql', 'excel']"
SALES,4.934167894357021,['communication']
DESIGNER,4.92483614621551,['leadership']
FITNESS,4.920095109847512,"['excel', 'leadership']"
HR,4.918466327591437,"['excel', 'communication']"
ACCOUNTANT,4.8874209683961185,"['sql', 'excel', 'communication']"
TEACHER,4.883571961967048,[]
HEALTHCARE,4.8729877623694815,"['communication', 'leadership']"
CONSULTANT,4.87128189045004,"['sql', 'tableau', 'excel', 'aws']"
FINANCE,4.866841365944144,"['excel', 'communication', 'leadership']"
ADVOCATE,4.85938786568444,"['sql', 'communication', 'data analysis']"
CONSULTANT,4.830615435560858,"['sql', 'machine learning', 'tableau', 'excel']"
HR,4.825001102997919,"['java', 'sql', 'excel', 'communication']"
INFORMATION-TECHNOLOGY,4.824407727238287,"['java', 'sql', 'excel']"
CONSULTANT,4.795988195495433,"['sql', 'excel', 'aws', 'communication']"
DESIGNER,4.785003932573896,['excel']
TEACHER,4.780287507523882,['excel']
ARTS,4.778261442728851,"['communication', 'leadership', 'data analysis']"
CONSULTANT,4.760294263099124,"['sql', 'excel', 'aws', 'communication']"
ARTS,4.744263937857146,"['excel', 'communication', 'leadership']"
ENGINEERING,4.725999320998342,"['excel', 'communication']"
TEACHER,4.700408995025162,"['excel', 'leadership']"
INFORMATION-TECHNOLOGY,4.696657219039345,"['python', 'java', 'data analysis']"
ADVOCATE,4.693475127674802,"['excel', 'communication']"
DESIGNER,4.6925021344595566,"['excel', 'communication']"
CONSULTANT,4.655259154266153,"['java', 'sql', 'excel', 'communication']"
ADVOCATE,4.647731755423838,"['excel', 'communication', 'leadership']"
ARTS,4.632168250540322,"['excel', 'communication', 'leadership']"
PUBLIC-RELATIONS,4.622313106040113,"['excel', 'communication', 'leadership']"
SALES,4.620890288134921,"['excel', 'communication', 'leadership']"
BUSINESS-DEVELOPMENT,4.6129776999541745,['communication']
TEACHER,4.610566862070967,['communication']
TEACHER,4.609592270860925,"['excel', 'communication']"
PUBLIC-RELATIONS,4.607611476524866,"['sql', 'excel', 'communication', 'leadership']"
ARTS,4.597833158992433,"['leadership', 'data analysis']"
BANKING,4.579172538334493,"['sql', 'excel']"
CONSULTANT,4.5762176783204005,"['excel', 'communication', 'leadership']"
DIGITAL-MEDIA,4.559306038898252,['communication']
ACCOUNTANT,4.5581146420586665,"['excel', 'communication']"
APPAREL,4.551258410968091,"['excel', 'communication']"
HEALTHCARE,4.546983231734421,"['sql', 'communication', 'leadership']"
APPAREL,4.533098926390901,[]
BANKING,4.528376214041948,"['sql', 'excel', 'communication', 'leadership']"
TEACHER,4.518957453840132,"['excel', 'communication', 'leadership']"
TEACHER,4.493848551249493,['leadership']
BANKING,4.48732046732514,"['excel', 'communication', 'leadership']"
PUBLIC-RELATIONS,4.484759298721365,"['excel', 'communication', 'leadership']"
DESIGNER,4.463484171651249,"['excel', 'communication', 'leadership']"
ADVOCATE,4.4629578541040456,['communication']
INFORMATION-TECHNOLOGY,4.459297870787199,"['python', 'java', 'sql', 'excel']"
ACCOUNTANT,4.448218554422157,"['excel', 'leadership']"
BPO,4.440219842255871,"['java', 'sql', 'excel', 'communication']"
HEALTHCARE,4.440080135729619,"['excel', 'communication', 'leadership', 'data analysis']"
APPAREL,4.42437415957284,"['tableau', 'excel', 'communication', 'leadership']"
ENGINEERING,4.405178406267043,"['sql', 'excel', 'leadership', 'data analysis']"
BANKING,4.384490566168131,"['sql', 'communication']"
CONSTRUCTION,4.3611360948979145,"['excel', 'communication', 'leadership']"
TEACHER,4.354305252986769,"['excel', 'communication']"
ARTS,4.353597567154906,"['excel', 'communication', 'leadership']"
ENGINEERING,4.348678321472503,"['excel', 'communication', 'leadership']"
HR,4.34817404188741,"['java', 'sql', 'excel', 'communication']"
PUBLIC-RELATIONS,4.347515206782812,"['excel', 'communication', 'react']"
INFORMATION-TECHNOLOGY,4.342437654918455,"['sql', 'excel', 'communication', 'leadership']"
ENGINEERING,4.341283287207795,"['excel', 'communication']"
HEALTHCARE,4.330518476417146,"['excel', 'communication', 'leadership']"
ARTS,4.330021759265209,"['communication', 'leadership']"
TEACHER,4.320798681376976,['communication']
ARTS,4.301509789631665,['excel']
INFORMATION-TECHNOLOGY,4.29059402949229,"['java', 'sql', 'excel', 'aws', 'communication', 'react', 'node js', 'mongodb']"
APPAREL,4.281750660560758,['communication']
CONSTRUCTION,4.2751229515355424,"['excel', 'communication', 'leadership']"
AUTOMOBILE,4.257689939104008,"['excel', 'communication', 'leadership']"
PUBLIC-RELATIONS,4.2569821710913285,"['excel', 'communication', 'leadership']"
DESIGNER,4.256811309460674,['aws']
